game,price
b'Nouvelle PS4 Slim Glacier White 500 Go',b'299\xe2\x82\xac99'
"b'Chaise de bureau gaming racing PC chaise bleu +1 tapis de souris gratuit, France livraison 2-5 jours de r\xc3\xa9ception'",b'98\xe2\x82\xac99'
b'New Nintendo 2DS XL \xc3\x89dition Pok\xc3\xa9 Ball',b'151\xe2\x82\xac04'
b'Pack Mortal Kombat Jeu XBOX One + Manette XBOX One',b'119\xe2\x82\xac90'
"b""PS4 1 To Noire + Marvel's Spider-Man Edition Standard""",b'399\xe2\x82\xac99'
b'Mystery Box - COD Black Ops 4 Jeu PS4',b'240\xe2\x82\xac75'
b'Xbox One S 1To 2 manettes',b'253\xe2\x82\xac98'
"b""Kit d'accessoires de chargeur pour adaptateur d'alimentation pour maison et voiture pour console de jeux vid\xc3\xa9o nintendo switch""",b'11\xe2\x82\xac99'
b'Playstation 4 Pro - Console 1 To + \xc3\x89dition sp\xc3\xa9ciale Kingdom Hearts 3',b'999\xe2\x82\xac99'
b'PS4 Slim Noire 500 Go',b'299\xe2\x82\xac99'
b'Pack PS4 Pro 1To Noire + Red Dead Redemption 2 Edition Standard',b'488\xe2\x82\xac99'
"b""Console Nintendo Switch + Pokemon : Let's Go, Pikachu ! Pr\xc3\xa9install\xc3\xa9 + Pok\xc3\xa9 Ball Plus Ed Pikachu et Evoli""",b'399\xe2\x82\xac99'
